Name	known	gene_id	n_ss	rank	rt_gene	annot_transcript_id_x	transcript_novelty	gene_novelty	n_genes	gene_ids	n_genes_no_rt	gene_ids_no_rt	annot_transcript_id_y	n_total_ss	filt_df	gid	needs to be fixed
TALONT000560879	TRUE	ENSG00000095059	16	1	FALSE	TALONT000560879	NIC	Known	2	"ENSG00000095059,ENSG00000285589"	1	ENSG00000095059	TALONT000560879	16	100	ENSG00000285589	
TALONT000643268	TRUE	ENSG00000100288	16	1	FALSE	TALONT000643268	ISM	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643268	16	100	ENSG00000254413	
TALONT000643341	TRUE	ENSG00000100288	16	1	FALSE	TALONT000643341	ISM	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643341	16	100	ENSG00000254413	
TALONT000643252	TRUE	ENSG00000100288	16	1	FALSE	TALONT000643252	ISM	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643252	16	100	ENSG00000254413	
TALONT000560145	TRUE	ENSG00000095059	16	1	FALSE	TALONT000560145	ISM	Known	2	"ENSG00000095059,ENSG00000285589"	1	ENSG00000095059	TALONT000560145	16	100	ENSG00000285589	
TALONT000466988	TRUE	ENSG00000213928	15	2	FALSE	TALONT000466988	NNC	Known	2	"ENSG00000213928,ENSG00000259529"	1	ENSG00000213928	TALONT000466988	16	93.75	ENSG00000259529	needs fixing
TALONT000636819	TRUE	ENSG00000014919	15	1	FALSE	TALONT000636819	ISM	Known	2	"ENSG00000014919,ENSG00000285932"	1	ENSG00000014919	TALONT000636819	16	93.75	ENSG00000285932	does not need fixing
TALONT001003889	TRUE	ENSG00000268500	15	2	FALSE	TALONT001003889	ISM	Known	2	"ENSG00000105501,ENSG00000268500"	1	ENSG00000268500	TALONT001003889	16	93.75	ENSG00000105501	does not need fixing
TALONT000637497	TRUE	ENSG00000156873	15	1	FALSE	TALONT000637497	ISM	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000637497	16	93.75	ENSG00000260899	needs fixing
TALONT000347957	TRUE	ENSG00000184702	14	1	FALSE	TALONT000347957	ISM	Known	2	"ENSG00000284874,ENSG00000184702"	1	ENSG00000184702	TALONT000347957	14	100	ENSG00000284874	
TALONT000410941	TRUE	ENSG00000263155	14	1	FALSE	TALONT000410941	ISM	Known	2	"ENSG00000137878,ENSG00000263155"	1	ENSG00000263155	TALONT000410941	14	100	ENSG00000137878	
TALONT000560160	TRUE	ENSG00000095059	14	1	FALSE	TALONT000560160	NIC	Known	2	"ENSG00000095059,ENSG00000285589"	1	ENSG00000095059	TALONT000560160	14	100	ENSG00000285589	
TALONT000560912	TRUE	ENSG00000095059	14	1	FALSE	TALONT000560912	NIC	Known	2	"ENSG00000285589,ENSG00000095059"	1	ENSG00000095059	TALONT000560912	14	100	ENSG00000285589	
TALONT000965659	TRUE	ENSG00000214753	14	1	FALSE	TALONT000965659	ISM	Known	2	"ENSG00000214753,ENSG00000234857"	1	ENSG00000214753	TALONT000965659	14	100	ENSG00000234857	
TALONT000643249	TRUE	ENSG00000100288	14	1	FALSE	TALONT000643249	ISM	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643249	14	100	ENSG00000254413	
TALONT000467068	TRUE	ENSG00000213928	14	2	FALSE	TALONT000467068	ISM	Known	2	"ENSG00000213928,ENSG00000259529"	1	ENSG00000213928	TALONT000467068	14	100	ENSG00000259529	
TALONT000466506	TRUE	ENSG00000213928	14	2	FALSE	TALONT000466506	NIC	Known	2	"ENSG00000213928,ENSG00000259529"	1	ENSG00000213928	TALONT000466506	14	100	ENSG00000259529	
TALONT002800029	TRUE	ENSG00000213999	14	1	FALSE	TALONT002800029	NIC	Known	2	"ENSG00000213999,ENSG00000064489"	1	ENSG00000213999	TALONT002800029	14	100	ENSG00000064489	
TALONT000431066	TRUE	ENSG00000277726	14	1	FALSE	TALONT000431066	NIC	Known	2	"ENSG00000120948,ENSG00000277726"	1	ENSG00000277726	TALONT000431066	14	100	ENSG00000120948	
TALONT000637495	TRUE	ENSG00000156873	14	1	FALSE	TALONT000637495	ISM	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000637495	14	100	ENSG00000260899	
TALONT004125006	TRUE	ENSG00000213999	14	1	FALSE	TALONT004125006	ISM	Known	2	"ENSG00000213999,ENSG00000064489"	1	ENSG00000213999	TALONT004125006	14	100	ENSG00000064489	
TALONT000988203	TRUE	ENSG00000250506	13	2	FALSE	TALONT000988203	ISM	Known	2	"ENSG00000250506,ENSG00000261408"	1	ENSG00000250506	TALONT000988203	14	92.85714286	ENSG00000261408	probably should be fixed
TALONT000628587	TRUE	ENSG00000261052	12	2	FALSE	TALONT000628587	ISM	Known	2	"ENSG00000213599,ENSG00000261052"	1	ENSG00000261052	TALONT000628587	12	100	ENSG00000213599	
TALONT001116868	TRUE	ENSG00000197114	12	2	FALSE	TALONT001116868	NIC	Known	4	"ENSG00000273154,ENSG00000197114,ENSG00000203896,ENSG00000273047"	1	ENSG00000197114	TALONT001116868	20	60	ENSG00000273154	
TALONT001116827	TRUE	ENSG00000197114	12	1	FALSE	TALONT001116827	NIC	Known	2	"ENSG00000197114,ENSG00000273154"	1	ENSG00000197114	TALONT001116827	12	100	ENSG00000273154	
TALONT000648661	TRUE	ENSG00000160408	12	1	FALSE	TALONT000648661	NIC	Known	2	"ENSG00000160408,ENSG00000257524"	1	ENSG00000160408	TALONT000648661	12	100	ENSG00000257524	
TALONT000648534	TRUE	ENSG00000160408	12	1	FALSE	TALONT000648534	ISM	Known	2	"ENSG00000160408,ENSG00000257524"	1	ENSG00000160408	TALONT000648534	12	100	ENSG00000257524	
TALONT000648539	TRUE	ENSG00000160408	12	1	FALSE	TALONT000648539	ISM	Known	2	"ENSG00000160408,ENSG00000257524"	1	ENSG00000160408	TALONT000648539	12	100	ENSG00000257524	
TALONT000302825	TRUE	ENSG00000243789	12	1	FALSE	TALONT000302825	ISM	Known	2	"ENSG00000168970,ENSG00000243789"	1	ENSG00000243789	TALONT000302825	12	100	ENSG00000168970	
TALONT000689905	TRUE	ENSG00000121716	12	2	FALSE	TALONT000689905	ISM	Known	2	"ENSG00000272752,ENSG00000121716"	1	ENSG00000121716	TALONT000689905	12	100	ENSG00000272752	
TALONT000466371	TRUE	ENSG00000213928	12	2	FALSE	TALONT000466371	ISM	Known	2	"ENSG00000259529,ENSG00000213928"	1	ENSG00000213928	TALONT000466371	12	100	ENSG00000259529	
TALONT001622147	TRUE	ENSG00000160408	12	1	FALSE	TALONT001622147	ISM	Known	2	"ENSG00000257524,ENSG00000160408"	1	ENSG00000160408	TALONT001622147	12	100	ENSG00000257524	
TALONT000757499	TRUE	ENSG00000161265	12	1	FALSE	TALONT000757499	NIC	Known	2	"ENSG00000161265,ENSG00000267120"	1	ENSG00000161265	TALONT000757499	12	100	ENSG00000267120	
TALONT000560249	TRUE	ENSG00000095059	12	1	FALSE	TALONT000560249	NIC	Known	2	"ENSG00000095059,ENSG00000285589"	1	ENSG00000095059	TALONT000560249	12	100	ENSG00000285589	
TALONT000950767	TRUE	ENSG00000241404	12	2	FALSE	TALONT000950767	ISM	Known	2	"ENSG00000258388,ENSG00000241404"	1	ENSG00000241404	TALONT000950767	12	100	ENSG00000258388	
TALONT000431076	TRUE	ENSG00000277726	12	1	FALSE	TALONT000431076	ISM	Known	2	"ENSG00000277726,ENSG00000120948"	1	ENSG00000277726	TALONT000431076	12	100	ENSG00000120948	
TALONT000431260	TRUE	ENSG00000277726	12	2	FALSE	TALONT000431260	NIC	Known	2	"ENSG00000120948,ENSG00000277726"	1	ENSG00000277726	TALONT000431260	12	100	ENSG00000120948	
TALONT000446694	TRUE	ENSG00000175106	12	2	FALSE	TALONT000446694	NIC	Known	3	"ENSG00000259024,ENSG00000175106,ENSG00000239704"	1	ENSG00000175106	TALONT000446694	16	75	ENSG00000259024	
TALONT000446720	TRUE	ENSG00000175106	12	2	FALSE	TALONT000446720	NIC	Known	3	"ENSG00000259024,ENSG00000175106,ENSG00000239704"	1	ENSG00000175106	TALONT000446720	14	85.71428571	ENSG00000259024	
TALONT000447845	TRUE	ENSG00000175106	12	1	FALSE	TALONT000447845	ISM	Known	2	"ENSG00000259024,ENSG00000175106"	1	ENSG00000175106	TALONT000447845	12	100	ENSG00000259024	
TALONT000580383	TRUE	ENSG00000213648	12	2	FALSE	TALONT000580383	ISM	Known	2	"ENSG00000213648,ENSG00000260280"	1	ENSG00000213648	TALONT000580383	12	100	ENSG00000260280	
TALONT000983726	TRUE	ENSG00000182450	12	2	FALSE	TALONT000983726	ISM	Known	2	"ENSG00000257069,ENSG00000182450"	1	ENSG00000182450	TALONT000983726	12	100	ENSG00000257069	
TALONT000737658	TRUE	ENSG00000135392	12	1	FALSE	TALONT000737658	ISM	Known	2	"ENSG00000135392,ENSG00000257390"	1	ENSG00000135392	TALONT000737658	12	100	ENSG00000257390	
TALONT000902203	TRUE	ENSG00000151967	11	2	FALSE	TALONT000902203	NIC	Known	2	"ENSG00000283154,ENSG00000151967"	1	ENSG00000151967	TALONT000902203	14	78.57142857	ENSG00000283154	does not need fixing
TALONT000431147	TRUE	ENSG00000277726	11	2	FALSE	TALONT000431147	NIC	Known	2	"ENSG00000120948,ENSG00000277726"	1	ENSG00000277726	TALONT000431147	12	91.66666667	ENSG00000120948	does not need fixing
TALONT000902302	TRUE	ENSG00000151967	11	2	FALSE	TALONT000902302	NIC	Known	2	"ENSG00000283154,ENSG00000151967"	1	ENSG00000151967	TALONT000902302	14	78.57142857	ENSG00000283154	
TALONT000902091	TRUE	ENSG00000151967	11	2	FALSE	TALONT000902091	NIC	Known	2	"ENSG00000283154,ENSG00000151967"	1	ENSG00000151967	TALONT000902091	14	78.57142857	ENSG00000283154	
TALONT000647810	TRUE	ENSG00000106992	11	1	FALSE	TALONT000647810	ISM	Known	2	"ENSG00000257524,ENSG00000106992"	1	ENSG00000106992	TALONT000647810	12	91.66666667	ENSG00000257524	
TALONT000902232	TRUE	ENSG00000151967	11	2	FALSE	TALONT000902232	NIC	Known	2	"ENSG00000283154,ENSG00000151967"	1	ENSG00000151967	TALONT000902232	14	78.57142857	ENSG00000283154	
TALONT000902227	TRUE	ENSG00000151967	11	2	FALSE	TALONT000902227	NIC	Known	2	"ENSG00000283154,ENSG00000151967"	1	ENSG00000151967	TALONT000902227	14	78.57142857	ENSG00000283154	
TALONT000902318	TRUE	ENSG00000151967	11	2	FALSE	TALONT000902318	ISM	Known	2	"ENSG00000283154,ENSG00000151967"	1	ENSG00000151967	TALONT000902318	12	91.66666667	ENSG00000283154	
TALONT000902321	TRUE	ENSG00000151967	11	2	FALSE	TALONT000902321	ISM	Known	2	"ENSG00000283154,ENSG00000151967"	1	ENSG00000151967	TALONT000902321	12	91.66666667	ENSG00000283154	
TALONT000446832	TRUE	ENSG00000175106	11	2	FALSE	TALONT000446832	NIC	Known	3	"ENSG00000259024,ENSG00000175106,ENSG00000239704"	1	ENSG00000175106	TALONT000446832	12	91.66666667	ENSG00000259024	
TALONT000446670	TRUE	ENSG00000175106	11	2	FALSE	TALONT000446670	NIC	Known	3	"ENSG00000259024,ENSG00000175106,ENSG00000239704"	1	ENSG00000175106	TALONT000446670	14	78.57142857	ENSG00000259024	
TALONT000647086	TRUE	ENSG00000106992	11	2	FALSE	TALONT000647086	ISM	Known	2	"ENSG00000257524,ENSG00000106992"	1	ENSG00000106992	TALONT000647086	12	91.66666667	ENSG00000257524	
TALONT001122495	TRUE	ENSG00000143543	10	1	FALSE	TALONT001122495	ISM	Known	3	"ENSG00000143543,ENSG00000285641,ENSG00000285779"	1	ENSG00000143543	TALONT001122495	10	100	ENSG00000285641	
TALONT001116925	TRUE	ENSG00000197114	10	2	FALSE	TALONT001116925	ISM	Known	2	"ENSG00000273154,ENSG00000197114"	1	ENSG00000197114	TALONT001116925	10	100	ENSG00000273154	
TALONT000268735	TRUE	ENSG00000197417	10	2	FALSE	TALONT000268735	NIC	Known	2	"ENSG00000262304,ENSG00000197417"	1	ENSG00000197417	TALONT000268735	10	100	ENSG00000262304	
TALONT000446706	TRUE	ENSG00000175106	10	2	FALSE	TALONT000446706	NIC	Known	3	"ENSG00000259024,ENSG00000175106,ENSG00000239704"	1	ENSG00000175106	TALONT000446706	14	71.42857143	ENSG00000259024	does not need fixing
TALONT002277371	TRUE	ENSG00000213999	10	1	FALSE	TALONT002277371	ISM	Known	2	"ENSG00000213999,ENSG00000064489"	1	ENSG00000213999	TALONT002277371	10	100	ENSG00000064489	
TALONT000560239	TRUE	ENSG00000095059	10	2	FALSE	TALONT000560239	NIC	Known	2	"ENSG00000285589,ENSG00000095059"	1	ENSG00000095059	TALONT000560239	10	100	ENSG00000285589	
TALONT000431769	TRUE	ENSG00000277726	10	2	FALSE	TALONT000431769	NIC	Known	2	"ENSG00000120948,ENSG00000277726"	1	ENSG00000277726	TALONT000431769	12	83.33333333	ENSG00000120948	
TALONT001622087	TRUE	ENSG00000160408	10	1	FALSE	TALONT001622087	ISM	Known	2	"ENSG00000160408,ENSG00000257524"	1	ENSG00000160408	TALONT001622087	10	100	ENSG00000257524	
TALONT001622089	TRUE	ENSG00000160408	10	1	FALSE	TALONT001622089	ISM	Known	2	"ENSG00000160408,ENSG00000257524"	1	ENSG00000160408	TALONT001622089	10	100	ENSG00000257524	
TALONT001701586	TRUE	ENSG00000182450	10	1	FALSE	TALONT001701586	NIC	Known	2	"ENSG00000182450,ENSG00000257069"	1	ENSG00000182450	TALONT001701586	10	100	ENSG00000257069	
TALONT000392415	TRUE	ENSG00000284128	10	1	FALSE	TALONT000392415	NIC	Known	2	"ENSG00000284128,ENSG00000215481"	1	ENSG00000284128	TALONT000392415	12	83.33333333	ENSG00000215481	
TALONT000948969	TRUE	ENSG00000076554	10	1	FALSE	TALONT000948969	ISM	Known	2	"ENSG00000076554,ENSG00000276418"	1	ENSG00000076554	TALONT000948969	12	83.33333333	ENSG00000276418	
TALONT000648625	TRUE	ENSG00000160408	10	2	FALSE	TALONT000648625	NIC	Known	2	"ENSG00000257524,ENSG00000160408"	1	ENSG00000160408	TALONT000648625	12	83.33333333	ENSG00000257524	
TALONT000648921	TRUE	ENSG00000160408	10	2	FALSE	TALONT000648921	ISM	Known	2	"ENSG00000257524,ENSG00000160408"	1	ENSG00000160408	TALONT000648921	12	83.33333333	ENSG00000257524	
TALONT000648762	TRUE	ENSG00000160408	10	1	FALSE	TALONT000648762	ISM	Known	2	"ENSG00000160408,ENSG00000257524"	1	ENSG00000160408	TALONT000648762	10	100	ENSG00000257524	
TALONT000648490	TRUE	ENSG00000160408	10	1	FALSE	TALONT000648490	ISM	Known	2	"ENSG00000257524,ENSG00000160408"	1	ENSG00000160408	TALONT000648490	10	100	ENSG00000257524	
TALONT000648473	TRUE	ENSG00000160408	10	2	FALSE	TALONT000648473	ISM	Known	2	"ENSG00000257524,ENSG00000160408"	1	ENSG00000160408	TALONT000648473	10	100	ENSG00000257524	
TALONT000648453	TRUE	ENSG00000160408	10	1	FALSE	TALONT000648453	ISM	Known	2	"ENSG00000160408,ENSG00000257524"	1	ENSG00000160408	TALONT000648453	10	100	ENSG00000257524	
TALONT000648451	TRUE	ENSG00000160408	10	2	FALSE	TALONT000648451	ISM	Known	2	"ENSG00000257524,ENSG00000160408"	1	ENSG00000160408	TALONT000648451	12	83.33333333	ENSG00000257524	
TALONT001061770	TRUE	ENSG00000088876	10	1	FALSE	TALONT001061770	ISM	Known	2	"ENSG00000088876,ENSG00000256566"	1	ENSG00000088876	TALONT001061770	10	100	ENSG00000256566	
TALONT000874281	TRUE	ENSG00000136450	10	1	FALSE	TALONT000874281	ISM	Known	2	"ENSG00000136450,ENSG00000266086"	1	ENSG00000136450	TALONT000874281	10	100	ENSG00000266086	
TALONT000637622	TRUE	ENSG00000156873	10	1	FALSE	TALONT000637622	ISM	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000637622	10	100	ENSG00000260899	
TALONT000643472	TRUE	ENSG00000100288	10	1	FALSE	TALONT000643472	ISM	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643472	10	100	ENSG00000254413	
TALONT000761310	TRUE	ENSG00000239382	10	1	FALSE	TALONT000761310	ISM	Known	2	"ENSG00000239382,ENSG00000248101"	1	ENSG00000239382	TALONT000761310	10	100	ENSG00000248101	
TALONT000392510	TRUE	ENSG00000284128	9	1	FALSE	TALONT000392510	NIC	Known	2	"ENSG00000284128,ENSG00000215481"	1	ENSG00000284128	TALONT000392510	12	75	ENSG00000215481	
TALONT000446661	TRUE	ENSG00000175106	9	2	FALSE	TALONT000446661	NIC	Known	3	"ENSG00000259024,ENSG00000175106,ENSG00000239704"	1	ENSG00000175106	TALONT000446661	12	75	ENSG00000259024	
TALONT000716419	TRUE	ENSG00000267368	9	2	FALSE	TALONT000716419	ISM	Known	3	"ENSG00000267645,ENSG00000267368,ENSG00000205236"	1	ENSG00000267368	TALONT000716419	10	90	ENSG00000267645	
TALONT000392434	TRUE	ENSG00000284128	8	1	FALSE	TALONT000392434	NIC	Known	2	"ENSG00000284128,ENSG00000215481"	1	ENSG00000284128	TALONT000392434	10	80	ENSG00000215481	
TALONT000874287	TRUE	ENSG00000136450	8	1	FALSE	TALONT000874287	ISM	Known	2	"ENSG00000136450,ENSG00000266086"	1	ENSG00000136450	TALONT000874287	8	100	ENSG00000266086	
TALONT000874298	TRUE	ENSG00000136450	8	1	FALSE	TALONT000874298	NIC	Known	2	"ENSG00000136450,ENSG00000266086"	1	ENSG00000136450	TALONT000874298	8	100	ENSG00000266086	
